CODIGO;DESCRICAO
2101739;CAMISETA REFL GL V MG LONG PURP BRIG EG
2101737;CAMISETA REFL GL V MG LONG PURP BRIG G
2101738;CAMISETA REFL GL V MG LONG PURP BRIG GG
2101736;CAMISETA REFL GL V MG LONG PURP BRIG M
2101735;CAMISETA REFL GL V MG LONG PURP BRIG P
2101744;CAMISETA REFL GL V MG LONG PURP CIPA EG
2101742;CAMISETA REFL GL V MG LONG PURP CIPA G
2101743;CAMISETA REFL GL V MG LONG PURP CIPA GG
2101741;CAMISETA REFL GL V MG LONG PURP CIPA M
2101740;CAMISETA REFL GL V MG LONG PURP CIPA P
2101409;CAMISETA REFLETIVO PURPURA TAM EXG
2101407;CAMISETA REFLETIVO PURPURA TAM G
2101408;CAMISETA REFLETIVO PURPURA TAM GG
2101406;CAMISETA REFLETIVO PURPURA TAM M
2101405;CAMISETA REFLETIVO PURPURA TAM P
2103556;CAMISETA GOLA V MANGA LONGA PURPURA EXG
2102261;CAMISETA GOLA V MANGA LONGA PURPURA G
2102262;CAMISETA GOLA V MANGA LONGA PURPURA GG
2102260;CAMISETA GOLA V MANGA LONGA PURPURA M
2102259;CAMISETA GOLA V MANGA LONGA PURPURA P
2103557;CAMISETA GOLA V PURPURA EXG
2102253;CAMISETA GOLA V PURPURA G
2102254;CAMISETA GOLA V PURPURA GG
2102252;CAMISETA GOLA V PURPURA M
2102251;CAMISETA GOLA V PURPURA P
2102265;CAMISETA GL V PURPURA MG LONG BRIGADA G
2102266;CAMISETA GL V PURPURA MG LONG BRIGADA GG
2102264;CAMISETA GL V PURPURA MG LONG BRIGADA M
2102263;CAMISETA GL V PURPURA MG LONG BRIGADA P
2102269;CAMISETA GL V  PURPURA MANGA LONG CIPA G
2102268;CAMISETA GL V  PURPURA MANGA LONG CIPA M
2102267;CAMISETA GL V  PURPURA MANGA LONG CIPA P
2102270;CAMISETA GL V  PURPURA MANG LONG CIPA GG
2102256;CALCA BRIM CZ CHUMBO G
2102257;CALCA BRIM CZ CHUMBO GG
2102255;CALCA BRIM CZ CHUMBO M
2100721;CALCA BRIM CZ CHUMBO P
2102258;CALCA BRIM CZ CHUMBO EXG
2101404;CALCA BRIM REFLETIVO CZ CHUMBO TAM EXG
2101403;CALCA BRIM REFLETIVO CZ CHUMBO TAM GG
2101402;CALCA BRIM REFLETIVO CZ CHUMBO TAM G
2101401;CALCA BRIM REFLETIVO CZ CHUMBO TAM M
2101400;CALCA BRIM REFLETIVO CZ CHUMBO TAM P
2096626;BOTINA SEG PR C/BIQ COMPOSITE 33
2096627;BOTINA SEG PR C/BIQ COMPOSITE 34
2096628;BOTINA SEG PR C/BIQ COMPOSITE 35
2096629;BOTINA SEG PR C/BIQ COMPOSITE 36
2096629;BOTINA SEG PR C/BIQ COMPOSITE 37
2096631;BOTINA SEG PR C/BIQ COMPOSITE 38
2096632;BOTINA SEG PR C/BIQ COMPOSITE 39
2096633;BOTINA SEG PR C/BIQ COMPOSITE 40
2096634;BOTINA SEG PR C/BIQ COMPOSITE 41
2096635;BOTINA SEG PR C/BIQ COMPOSITE 42
2096636;BOTINA SEG PR C/BIQ COMPOSITE 43
2096637;BOTINA SEG PR C/BIQ COMPOSITE 44
2096638;BOTINA SEG PR C/BIQ COMPOSITE 45
2096639;BOTINA SEG PR C/BIQ COMPOSITE 46
2096817;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 33
2096818;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 34
2096819;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 35
2096820;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 36
2096821;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 37
2096822;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 38
2096823;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 39
2096824;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 40
2096825;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 41
2096826;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 42
2096827;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 43
2096828;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 44
2096829;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 45
2096830;BOTINA SEG ANTIEST PR C/BIQ COMPOSITE 46
20501;CANETA ESFEROGRAFICA AZUL
2097817;FILTRO COMBINADO P3 60922 3M
72527;RESPIRADOR 1004 CONFO II FACE SILICONE
94940;RESPIRADOR FACIAL INTEIRA 6800 M CA7298
28166;MACACAO TYVEK BRANCO TAM-G
27894;MACACAO TYVEK BRANCO TAM-XG
27893;OCULOS SEG AMPLA VISAO PLUTAO DANNY
2099878;OCULOS SEG AMPLA VISAO 
2090472;OCULOS SEG POMP VISION 3000
74436;LAMINA TRAPEZIO 3-100D
35772;ESTILETE LAMINA RETRAT REF 15-0672
2057448;ESTILETE SEG BICO PATO
2020733;AVENTAL
2094086;LUVA BOR NITRIL CANO LONGO TAM G
2094085;LUVA BOR NITRIL CANO LONGO TAM M
2094084;LUVA BOR NITRIL CANO LONGO TAM P
27758;LUVA BORRACHA NITRILICA VD TAM G
20278;LUVA BORRACHA NITRILICA VD TAM M
27796;LUVA BORRACHA NITRILICA VD TAM P
2104210;LUVA TOUCH AGENTE QUIMICO TAM P 100UN
2104211;LUVA TOUCH AGENTE QUIMICO TAM M 100UN
2104212;LUVA TOUCH AGENTE QUIMICO TAM G 100UN
2104213;LUVA TOUCH AGENTE QUIMICO TAM GG 100UN
2104214;LUVA TOUCH AGENTE QUIMICO TAM XG 100UN
2102844;LUVA BOR NITRIL TAM M 20CM AG QUIM 100UN
2091725;CAPACETE BR ABA FRONT S/VENT 4PTS H700
2108175;CARNEIRA JUGULAR CATRACA H700
2077906;CARNEIRA JUGULAR CATRACA H700
35572;PROTETOR AURICULAR TIPO PLUG
97072;MASCARA DESCART TNT TRIPLA ELAST
2010130;RESPIRADOR DESCARTAVEL PFF 2V AERO
2094812;KIT ABAFADOR POMP MUFLLER VM CAPACETE
2102844;LUVA BOR NITRIL TAM M 20CM AG QUIM 100UN
2103686;DETERGENTE NEUTRO 50 LT
2104871;TIRANTE P RESPIRADOR
2101212;GUARDA PO BRAGUILHA MG LONGA CZ CHUMBO P
2101213;GUARDA PO BRAGUILHA MG LONGA CZ CHUMBO M
2101214;GUARDA PO BRAGUILHA MG LONGA CZ CHUMBO G
2101214;swab
422993;FILME STRETCH
56014;SACO DE BOMBONA
2098885;SACO PESAGEM 50X70
70978;SACO PESAGEM 20X30
70979;SACO PESAGEM 25X35
70980;SACO PESAGEM 35X50
27728;ABRACADEIRA NY T 18R
29919;ABRACADEIRA NY T 30R 
21462;ABRACADEIRA NY T 50R 
2026536;ABRACADEIRA NY T 80I 
407129;ETIQ EM ROLO 95X75MM 125 M 1011/138
2030198;ETIQ EM ROLO 95X75MM 45M
2104895;PANO TNT 300MMX300M 35G/M2
20515;PAPEL A4 210X297MM
2122407;PANO LIMPEZA 
2061283;KIT REPOSICAO ABAFADOR HY9
2101405;
2103708;DETERGENTE DIVOSAN TC 86 10 LITROS
2103687;BRELTAK PLUS DETERGENTE DESINCRUST 25 KG
452455;ACIDO FOSFORICO 85% EM AGUA SAM
210032;ACIDO CITRICO ANIDRO F
2010130;RESPIRADOR DESCARTAVEL PFF 2V AERO
28046;AVENTAL DESCART TNT MLONG VELCR GR20
2092524;LUVA CONTRA AG PERFURANTE N-4 N 6
2092525;LUVA CONTRA AG PERFURANTE N-4 N 7
2092526;LUVA CONTRA AG PERFURANTE N-4 N 8
2092527;LUVA CONTRA AG PERFURANTE N-4 N 9 
2092528;LUVA CONTRA AG PERFURANTE N-4 N 10
2091178;LUVA CONTRA AG PERFURANTES 11-840 7
2091179;LUVA CONTRA AG PERFURANTES 11-840 8
2091180;LUVA CONTRA AG PERFURANTES 11-840 9
2091181;LUVA CONTRA AG PERFURANTES 11-840 10
2102844;LUVA BOR NITRIL TAM M 20CM AG QUIM 100UN
2104212;LUVA TOUCH AGENTE QUIMICO TAM G 100UN
42300;LUVA LATEX PROCEDIMENTO CIRUGICO TAM G
42299;LUVA LATEX PROCEDIMENTO CIRUGICO TAM P
23311;LUVA LATEX PROCEDIMENTO CIRUGICO TAM-M
2091875;CADEADO HASTE PLAST AM 38MM
43852;FITA AD TRANSP 50X100M
2092529;MANGOTE 70-118
2066814;REFIL GAS BUTANO 190G
70906;POTE VIDOR 600ML PBLG 74MM
71033;TAMPA ARJEK 74MM BRANCA
2097817;FILTRO COMBINADO P3 60922 3M
94940;RESPIRADOR FACIAL INTEIRA 6800 M CA7298
2026536;ABRACADEIRA NY T 80I HELLERMANN
2108816;LUVA MICROFLEX 93-260 TAM 6
2108817;LUVA MICROFLEX 93-260 TAM 7
2108818;LUVA MICROFLEX 93-260 TAM 8
2108819;LUVA MICROFLEX 93-260 TAM 9
2108820;LUVA MICROFLEX 93-260 TAM 10
2026106;SILISPLAY BUTANO ULTRALUB 69651 300ML
2090473;OCULOS SOBREPOSIÇÃO
2120561;ETIQUETA ADES IDENTIF APROVADO 20X10CM
2120562;ETIQUETA ADES IDENTIF REPROVADO 20X10CM
2120563;ETIQUETA ADES IDENTIF BLOQUEADO 20X10CM
2120564;ETIQUETA ADES IDENTIF TESTE 20X10CM
2120565;ETIQUETA ADES IDENTIF AMOSTRADO 20X10CM
2120051;Protetor auricular TIPO CONCHA X2A
2120561;ETIQUETA AD IDENTIF MATERIAL APROVADO
2121406;ETIQUETA AD IDENTIF MATERIAL DEV 20X10CM
2121860;OCULOS TRANSPARENTE
2058307;BLOCO DE OS
2121059;PALMILHA 33
2121060;PALMILHA 34
2121061;PALMILHA 35
2121062;PALMILHA 36
2121063;PALMILHA 37
2121064;PALMILHA 38
2121065;PALMILHA 39 
2121066;PALMILHA 40 
2121067;PALMILHA 41
2121068;PALMILHA 42
2121069;PALMILHA 43
2121070;PALMILHA 44
2121071;PALMILHA 45
2122133;LUVA SEG RES CORTE NY T 7HYFLEX 11727
2122134;LUVA SEG RES CORTE NY T8 HYFLEX 11728
2122135;LUVA SEG RES CORTE NY T9 HYFLEX 11729
2122136;LUVA SEG RES CORTE NY T10  HYFLEX 11730
2104796;TIPO PLUG MODELO MILLENIUM P
2120051;Protetor auricular TIPO CONCHA X2A
2120052;kit reposição higienico TIPO CONCHA X2A PRETO
2119627;BOTINA CAD B/COMP ANT COURO N33 PRETO
2119628;BOTINA CAD B/COMP ANT COURO N34 PRETO
2119629;BOTINA CAD B/COMP ANT COURO N35 PRETO
2119630;BOTINA CAD B/COMP ANT COURO N36 PRETO
2119631;BOTINA CAD B/COMP ANT COURO N37 PRETO
2119632;BOTINA CAD B/COMP ANT COURO N38 PRETO
2119633;BOTINA CAD B/COMP ANT COURO N39 PRETO
2119634;BOTINA CAD B/COMP ANT COURO N40 PRETO
2119635;BOTINA CAD B/COMP ANT COURO N41 PRETO
2119636;BOTINA CAD B/COMP ANT COURO N42 PRETO
2119637;BOTINA CAD B/COMP ANT COURO N43 PRETO
2119638;BOTINA CAD B/COMP ANT COURO N44 PRETO
2119639;BOTINA CAD B/COMP ANT COURO N45 PRETO
94464;BOBINA TERMICA 55MMX400M
96597;ESPONJA ACO 8X1
2038664;ESPONJA LIMPEZA FIBRA MACIA BR
96597;ESPONJA ACO 8X1
68713;FITA ADES ANTIDERR SAFETYWALK500X20MPT
2093193;ESPONJA FIBRA LIMPEZA PESADA
2106270;BRACELETE BRIGADA TECIDO E ELASTICO P VM
2106271;BRACELETE BRIGADA TECIDO E ELASTICO M VM
2106272;BRACELETE BRIGADA TECIDO E ELASTICO G VM
2106273;BRACELETE BRIGADA TECIDO ELASTICO GG VM
2106268;BRACELETE CIPA TECIDO E ELASTICO G VERDE
2106269;BRACELETE CIPA TECIDO E ELASTICO GG VD
2106267;BRACELETE CIPA TECIDO E ELASTICO M VERDE
2106266;BRACELETE CIPA TECIDO E ELASTICO P VERDE
